id,notificationType,notificationName,disabled,userCountry,polCountry,podCountry,templateName,contentSubject,contentLead,contentMain,contentCta,toEmail,toName,loadType,delete
,EMAIL,APPROVE_KYC,FALSE,,,,generic-kontainers-email,[{tenant_name}] KYC Approved,,"<p>Dear {user_name},</p><p>We are pleased to inform you that you have full access to the platform and can now place bookings on our online platform.</p>",,{user_email},{user_name},,FALSE
,EMAIL,BOOKING_STATUS_DEFAULT,FALSE,,,,generic-kontainers-email-with-link,Your order {customer_reference} is updated.,,"<p>Dear {user_name},</p><p>Your booking status have changed to {status}. </p>",{user_email},{user_email},{user_name},,FALSE
,EMAIL,NEW_PRIMARY_USER,FALSE,,,,generic-kontainers-email-with-link,[{tenant_name}] Confirm KYC for {user_email},,"{user_name} has been registered, please confirm KYC.",<a href='{admin_user_url}' class='bc_mail_button' target='_blank' style='{a_style}'>Confirm KYC</a>,replace.me@admin.com,,,FALSE
,EMAIL,FILE_DESC_UPDATE_ADMIN_DEFAULT,FALSE,,,,generic-kontainers-email-with-link,"{file_type} uploaded, ref {customer_reference}",,<p>Click on the button below to view booking.</p>,<a href='{client_dashboard_url}' class='bc_mail_button' target='_blank' style='{a_style}'>View Booking</a>,{user_email},,,FALSE
,EMAIL,FILE_DESC_UPDATE_CUSTOMER_DEFAULT,FALSE,,,,generic-kontainers-email-with-link,"{file_type} uploaded, ref {customer_reference}",,<p>Click on the button below to view booking.</p>,<a href='{admin_booking_url}' class='bc_mail_button' target='_blank' style='{a_style}'>View Booking</a>,replace.me@admin.com,,,FALSE
,EMAIL,FILE_DESC_UPDATE_EXTERNAL_DEFAULT,FALSE,,,,generic-kontainers-email-with-link,"{file_type} uploaded, ref {customer_reference}",,<p>Click on the button below to view booking.</p>,<a href='{admin_booking_url}' class='bc_mail_button' target='_blank' style='{a_style}'>View Booking</a>,replace.me@admin.com,,,FALSE
,EMAIL,LANDLORD_PASSWORD_FORGET,FALSE,,,,generic-kontainers-email-with-link,[{tenant_name}] Reset your password,,"<p>You have requested to reset your password for {tenant_name}, click on the link below to start</p>",<a href='{url}' class='bc_mail_button' target='_blank' style='{a_style}'>Reset</a>,{user_email},{user_name},,FALSE
,EMAIL,NEW_BOOKING,FALSE,,,,generic-kontainers-email-with-link,"Booking Created, booking ID {booking_id}",,Click on the button below to view new booking.,<a href='{admin_booking_url}' class='bc_mail_button' target='_blank' style='{a_style}'>View Booking</a>,replace.me@admin.com,,,FALSE
,EMAIL,NEW_LANDLORD_INVITE,FALSE,,,,generic-kontainers-email-with-link,[{tenant_name}] You are invited,,"<p>Hello</p><p>please join {tenant_name}, click on the link below to start</p>",<a href='{url}' class='bc_mail_button' target='_blank' style='{a_style}'>Create Account</a>,{user_email},,,FALSE
,EMAIL,REJECT_KYC,FALSE,,,,generic-kontainers-email,[{tenant_name}] KYC Rejected,,"<p>Dear {user_name}, </p><p>Thank you for your registration request to our new online platform.</p><p>We are unable to approve your registration due to technichal or other reasons. Please contact your local customer service office.",,{user_email},{user_name},,FALSE
,EMAIL,USER_PASSWORD_FORGET,FALSE,,,,generic-kontainers-email-with-link,[{tenant_name}] Reset Your Password,,<p>You have recently requested a password reset. Please click on the link below to get started.</p>,<a href='{url}' class='bc_mail_button' target='_blank' style='{a_style}'>Reset Password</a>,{user_email},{user_name},,FALSE
,EMAIL,NEW_USER_INVITE,FALSE,,,,generic-kontainers-email-with-link,[{tenant_name}] You are invited,,"<p>Hello</p><p>please join {tenant_name}, click on the link below to start</p>",<a href='{url}' class='bc_mail_button' target='_blank' style='{a_style}'>Create Account</a>,{user_email},,,FALSE
